Listing...
adduser/oldstable,now 3.118 all [installed]
apt/oldstable,now 1.8.2.3 i386 [installed]
base-files/oldstable,now 10.3+deb10u13 i386 [installed]
base-passwd/oldstable,now 3.5.46 i386 [installed]
bash/oldstable,now 5.0-4 i386 [installed]
bsdutils/oldstable,now 1:2.33.1-0.1 i386 [installed]
coreutils/oldstable,now 8.30-3 i386 [installed]
dash/oldstable,now 0.5.10.2-5 i386 [installed]
debconf/oldstable,now 1.5.71+deb10u1 all [installed]
debian-archive-keyring/oldstable,now 2019.1+deb10u1 all [installed]
debianutils/oldstable,now 4.8.6.1 i386 [installed]
diffutils/oldstable,now 1:3.7-3 i386 [installed]
dpkg/oldstable,now 1.19.8 i386 [installed]
e2fsprogs/oldstable,now 1.44.5-1+deb10u3 i386 [installed]
fdisk/oldstable,now 2.33.1-0.1 i386 [installed]
findutils/oldstable,now 4.6.0+git+20190209-2 i386 [installed]
gcc-8-base/oldstable,now 8.3.0-6 i386 [installed]
gpgv/oldstable,now 2.2.12-1+deb10u2 i386 [installed]
grep/oldstable,now 3.3-1 i386 [installed]
gzip/oldstable,now 1.9-3+deb10u1 i386 [installed]
hostname/oldstable,now 3.21 i386 [installed]
init-system-helpers/oldstable,now 1.56+nmu1 all [installed]
libacl1/oldstable,now 2.2.53-4 i386 [installed]
libapparmor1/oldstable,now 2.13.2-10 i386 [installed]
libapt-inst2.0/oldstable,now 1.8.2.3 i386 [installed]
libapt-pkg5.0/oldstable,now 1.8.2.3 i386 [installed]
libargon2-1/oldstable,now 0~20171227-0.2 i386 [installed]
libattr1/oldstable,now 1:2.4.48-4 i386 [installed]
libaudit-common/oldstable,now 1:2.8.4-3 all [installed]
libaudit1/oldstable,now 1:2.8.4-3 i386 [installed]
libblkid1/oldstable,now 2.33.1-0.1 i386 [installed]
libbsd0/oldstable,now 0.9.1-2+deb10u1 i386 [installed]
libbz2-1.0/now 1.0.6-9.2~deb10u2 i386 [installed,local]
libc-bin/oldstable,now 2.28-10+deb10u1 i386 [installed]
libc6/oldstable,now 2.28-10+deb10u1 i386 [installed]
libcap-ng0/oldstable,now 0.7.9-2 i386 [installed]
libcap2-bin/oldstable,now 1:2.25-2 i386 [installed]
libcap2/oldstable,now 1:2.25-2 i386 [installed]
libcom-err2/oldstable,now 1.44.5-1+deb10u3 i386 [installed]
libdb5.3/oldstable,now 5.3.28+dfsg1-0.5 i386 [installed]
libdebconfclient0/oldstable,now 0.249 i386 [installed]
